questionNo,displayQuestionNo,sourceQuestionNo,questionId,section,correctLetter,correctOptionId,difficulty,difficultyWeight,visualAsset,listeningAsset,maxPoints
1,1,1,g07-vocabulary-q01,vocabulary,B,opt_b,easy,1,assets/visuals/grade-07-q01.png,,
2,2,2,g07-vocabulary-q02,vocabulary,B,opt_b,easy,1,,,
3,3,3,g07-vocabulary-q03,vocabulary,A,opt_a,easy,1,,,
4,4,4,g07-vocabulary-q04,vocabulary,B,opt_b,easy,1,,,
5,5,5,g07-vocabulary-q05,vocabulary,A,opt_a,easy,1,assets/visuals/grade-07-q05.png,,
6,6,6,g07-vocabulary-q06,vocabulary,A,opt_a,easy,1,,,
7,7,7,g07-vocabulary-q07,vocabulary,B,opt_b,easy,1,,,
8,8,9,g07-vocabulary-q08,vocabulary,A,opt_a,easy,1,,,
9,9,10,g07-vocabulary-q09,vocabulary,B,opt_b,medium,2,assets/visuals/grade-07-q10.png,,
10,10,11,g07-vocabulary-q10,vocabulary,A,opt_a,medium,2,,,
11,11,13,g07-vocabulary-q11,vocabulary,B,opt_b,medium,2,,,
12,12,14,g07-vocabulary-q12,vocabulary,A,opt_a,medium,2,,,
13,13,15,g07-vocabulary-q13,vocabulary,B,opt_b,medium,2,,,
14,14,16,g07-vocabulary-q14,vocabulary,B,opt_b,medium,2,assets/visuals/grade-07-q16.png,,
15,15,17,g07-vocabulary-q15,vocabulary,A,opt_a,medium,2,,,
16,16,18,g07-vocabulary-q16,vocabulary,A,opt_a,medium,2,,,
17,17,19,g07-vocabulary-q17,vocabulary,A,opt_a,medium,2,,,
18,18,20,g07-vocabulary-q18,vocabulary,A,opt_a,hard,3,assets/visuals/grade-07-q20.png,,
19,19,21,g07-vocabulary-q19,vocabulary,B,opt_b,hard,3,,,
20,20,22,g07-vocabulary-q20,vocabulary,A,opt_a,hard,3,,,
21,21,23,g07-vocabulary-q21,vocabulary,B,opt_b,hard,3,,,
22,22,25,g07-vocabulary-q22,vocabulary,B,opt_b,hard,3,,,
23,23,26,g07-grammar-q23,grammar,A,opt_a,easy,1,assets/visuals/grade-07-q26.png,,
24,24,27,g07-grammar-q24,grammar,A,opt_a,easy,1,,,
25,25,28,g07-grammar-q25,grammar,B,opt_b,easy,1,,,
26,26,29,g07-grammar-q26,grammar,A,opt_a,easy,1,,,
27,27,30,g07-grammar-q27,grammar,B,opt_b,easy,1,,,
28,28,31,g07-grammar-q28,grammar,B,opt_b,medium,2,assets/visuals/grade-07-q31.png,,
29,29,32,g07-grammar-q29,grammar,A,opt_a,medium,2,,,
30,30,33,g07-grammar-q30,grammar,B,opt_b,medium,2,,,
31,31,34,g07-grammar-q31,grammar,B,opt_b,medium,2,,,
32,32,35,g07-grammar-q32,grammar,B,opt_b,medium,2,assets/visuals/grade-07-q35.png,,
33,33,36,g07-grammar-q33,grammar,B,opt_b,medium,2,,,
34,34,37,g07-grammar-q34,grammar,A,opt_a,hard,3,,,
35,35,39,g07-grammar-q35,grammar,A,opt_a,hard,3,,,
36,36,40,g07-grammar-q36,grammar,A,opt_a,hard,3,,,
37,37,41,g07-reading-q37,reading,A,opt_a,easy,1,,,
38,38,42,g07-reading-q38,reading,B,opt_b,easy,1,,,
39,39,43,g07-reading-q39,reading,A,opt_a,easy,1,,,
40,40,44,g07-reading-q40,reading,A,opt_a,easy,1,,,
41,41,45,g07-reading-q41,reading,B,opt_b,easy,1,,,
42,42,46,g07-reading-q42,reading,A,opt_a,medium,2,,,
43,43,47,g07-reading-q43,reading,B,opt_b,medium,2,,,
44,44,48,g07-reading-q44,reading,A,opt_a,medium,2,,,
45,45,49,g07-reading-q45,reading,A,opt_a,medium,2,,,
46,46,50,g07-reading-q46,reading,B,opt_b,medium,2,,,
47,47,51,g07-reading-q47,reading,A,opt_a,medium,2,,,
48,48,52,g07-reading-q48,reading,B,opt_b,hard,3,,,
49,49,53,g07-reading-q49,reading,A,opt_a,hard,3,,,
50,50,54,g07-reading-q50,reading,A,opt_a,hard,3,,,
51,51,56,g07-listening-q51,listening,A,opt_a,easy,1,,assets/listening/grade-07-listening.mp3,
52,52,57,g07-listening-q52,listening,A,opt_a,easy,1,,assets/listening/grade-07-listening.mp3,
53,53,58,g07-listening-q53,listening,A,opt_a,medium,2,,assets/listening/grade-07-listening.mp3,
54,54,59,g07-listening-q54,listening,B,opt_b,medium,2,,assets/listening/grade-07-listening.mp3,
55,55,60,g07-listening-q55,listening,A,opt_a,hard,3,,assets/listening/grade-07-listening.mp3,
56,56,,g07-speaking-q01,speaking,,,,,,,4
57,57,,g07-speaking-q02,speaking,,,,,,,4
58,58,,g07-speaking-q03,speaking,,,,,,,4
59,59,,g07-speaking-q04,speaking,,,,,,,4
60,60,,g07-speaking-q05,speaking,,,,,,,4
