questionNo,displayQuestionNo,sourceQuestionNo,questionId,section,correctLetter,correctOptionId,difficulty,difficultyWeight,visualAsset,listeningAsset,maxPoints
1,1,1,g05-vocabulary-q01,vocabulary,B,opt_b,easy,1,assets/visuals/grade-05-q01.png,,
2,2,2,g05-vocabulary-q02,vocabulary,B,opt_b,easy,1,,,
3,3,3,g05-vocabulary-q03,vocabulary,A,opt_a,easy,1,,,
4,4,4,g05-vocabulary-q04,vocabulary,B,opt_b,easy,1,,,
5,5,5,g05-vocabulary-q05,vocabulary,B,opt_b,easy,1,,,
6,6,6,g05-vocabulary-q06,vocabulary,A,opt_a,easy,1,assets/visuals/grade-05-q06.png,,
7,7,7,g05-vocabulary-q07,vocabulary,B,opt_b,easy,1,,,
8,8,9,g05-vocabulary-q08,vocabulary,A,opt_a,easy,1,,,
9,9,10,g05-vocabulary-q09,vocabulary,B,opt_b,easy,1,,,
10,10,11,g05-vocabulary-q10,vocabulary,B,opt_b,medium,2,assets/visuals/grade-05-q11.png,,
11,11,12,g05-vocabulary-q11,vocabulary,B,opt_b,medium,2,,,
12,12,13,g05-vocabulary-q12,vocabulary,B,opt_b,medium,2,,,
13,13,14,g05-vocabulary-q13,vocabulary,B,opt_b,medium,2,,,
14,14,15,g05-vocabulary-q14,vocabulary,B,opt_b,medium,2,,,
15,15,16,g05-vocabulary-q15,vocabulary,A,opt_a,medium,2,assets/visuals/grade-05-q16.png,,
16,16,17,g05-vocabulary-q16,vocabulary,B,opt_b,medium,2,,,
17,17,18,g05-vocabulary-q17,vocabulary,B,opt_b,medium,2,,,
18,18,19,g05-vocabulary-q18,vocabulary,A,opt_a,medium,2,,,
19,19,20,g05-vocabulary-q19,vocabulary,A,opt_a,medium,2,,,
20,20,21,g05-vocabulary-q20,vocabulary,A,opt_a,hard,3,assets/visuals/grade-05-q21.png,,
21,21,22,g05-vocabulary-q21,vocabulary,B,opt_b,hard,3,,,
22,22,23,g05-vocabulary-q22,vocabulary,A,opt_a,hard,3,,,
23,23,24,g05-vocabulary-q23,vocabulary,B,opt_b,hard,3,,,
24,24,25,g05-vocabulary-q24,vocabulary,B,opt_b,hard,3,,,
25,25,26,g05-grammar-q25,grammar,B,opt_b,easy,1,assets/visuals/grade-05-q26.png,,
26,26,27,g05-grammar-q26,grammar,A,opt_a,easy,1,,,
27,27,28,g05-grammar-q27,grammar,B,opt_b,easy,1,,,
28,28,29,g05-grammar-q28,grammar,A,opt_a,easy,1,,,
29,29,30,g05-grammar-q29,grammar,B,opt_b,medium,2,assets/visuals/grade-05-q30.png,,
30,30,31,g05-grammar-q30,grammar,A,opt_a,medium,2,,,
31,31,32,g05-grammar-q31,grammar,A,opt_a,medium,2,,,
32,32,33,g05-grammar-q32,grammar,A,opt_a,medium,2,,,
33,33,35,g05-grammar-q33,grammar,B,opt_b,hard,3,,,
34,34,36,g05-grammar-q34,grammar,B,opt_b,hard,3,,,
35,35,37,g05-grammar-q35,grammar,A,opt_a,hard,3,,,
36,36,41,g05-reading-q36,reading,A,opt_a,easy,1,,,
37,37,42,g05-reading-q37,reading,B,opt_b,easy,1,,,
38,38,43,g05-reading-q38,reading,B,opt_b,easy,1,,,
39,39,44,g05-reading-q39,reading,B,opt_b,easy,1,,,
40,40,45,g05-reading-q40,reading,B,opt_b,easy,1,,,
41,41,46,g05-reading-q41,reading,B,opt_b,easy,1,,,
42,42,47,g05-reading-q42,reading,A,opt_a,medium,2,,,
43,43,48,g05-reading-q43,reading,A,opt_a,medium,2,,,
44,44,49,g05-reading-q44,reading,B,opt_b,medium,2,,,
45,45,50,g05-reading-q45,reading,A,opt_a,medium,2,,,
46,46,51,g05-reading-q46,reading,B,opt_b,medium,2,,,
47,47,52,g05-reading-q47,reading,A,opt_a,medium,2,,,
48,48,53,g05-reading-q48,reading,B,opt_b,hard,3,,,
49,49,54,g05-reading-q49,reading,B,opt_b,hard,3,,,
50,50,55,g05-reading-q50,reading,A,opt_a,hard,3,,,
51,51,56,g05-listening-q51,listening,B,opt_b,easy,1,,assets/listening/grade-05-listening.mp3,
52,52,57,g05-listening-q52,listening,A,opt_a,easy,1,,assets/listening/grade-05-listening.mp3,
53,53,58,g05-listening-q53,listening,A,opt_a,medium,2,,assets/listening/grade-05-listening.mp3,
54,54,59,g05-listening-q54,listening,B,opt_b,medium,2,,assets/listening/grade-05-listening.mp3,
55,55,60,g05-listening-q55,listening,A,opt_a,hard,3,,assets/listening/grade-05-listening.mp3,
56,56,,g05-speaking-q01,speaking,,,,,,,4
57,57,,g05-speaking-q02,speaking,,,,,,,4
58,58,,g05-speaking-q03,speaking,,,,,,,4
59,59,,g05-speaking-q04,speaking,,,,,,,4
60,60,,g05-speaking-q05,speaking,,,,,,,4
