questionNo,displayQuestionNo,sourceQuestionNo,questionId,section,correctLetter,correctOptionId,difficulty,difficultyWeight,visualAsset,listeningAsset,maxPoints
1,1,1,g09-vocabulary-q01,vocabulary,B,opt_b,easy,1,assets/visuals/grade-09-q01.png,,
2,2,4,g09-vocabulary-q02,vocabulary,B,opt_b,easy,1,,,
3,3,5,g09-vocabulary-q03,vocabulary,A,opt_a,easy,1,assets/visuals/grade-09-q05.png,,
4,4,6,g09-vocabulary-q04,vocabulary,B,opt_b,easy,1,,,
5,5,7,g09-vocabulary-q05,vocabulary,B,opt_b,easy,1,,,
6,6,9,g09-vocabulary-q06,vocabulary,B,opt_b,easy,1,,,
7,7,10,g09-vocabulary-q07,vocabulary,B,opt_b,easy,1,,,
8,8,11,g09-vocabulary-q08,vocabulary,A,opt_a,easy,1,,,
9,9,12,g09-vocabulary-q09,vocabulary,A,opt_a,medium,2,,,
10,10,14,g09-vocabulary-q10,vocabulary,B,opt_b,medium,2,,,
11,11,15,g09-vocabulary-q11,vocabulary,B,opt_b,medium,2,assets/visuals/grade-09-q15.png,,
12,12,16,g09-vocabulary-q12,vocabulary,B,opt_b,medium,2,,,
13,13,17,g09-vocabulary-q13,vocabulary,A,opt_a,medium,2,,,
14,14,18,g09-vocabulary-q14,vocabulary,A,opt_a,medium,2,assets/visuals/grade-09-q18.png,,
15,15,19,g09-vocabulary-q15,vocabulary,B,opt_b,medium,2,,,
16,16,20,g09-vocabulary-q16,vocabulary,B,opt_b,medium,2,,,
17,17,21,g09-vocabulary-q17,vocabulary,B,opt_b,hard,3,,,
18,18,22,g09-vocabulary-q18,vocabulary,A,opt_a,hard,3,,,
19,19,23,g09-vocabulary-q19,vocabulary,A,opt_a,hard,3,,,
20,20,24,g09-vocabulary-q20,vocabulary,A,opt_a,hard,3,assets/visuals/grade-09-q24.png,,
21,21,25,g09-vocabulary-q21,vocabulary,B,opt_b,hard,3,,,
22,22,26,g09-grammar-q22,grammar,B,opt_b,easy,1,,,
23,23,27,g09-grammar-q23,grammar,B,opt_b,easy,1,,,
24,24,28,g09-grammar-q24,grammar,A,opt_a,easy,1,,,
25,25,29,g09-grammar-q25,grammar,B,opt_b,easy,1,,,
26,26,30,g09-grammar-q26,grammar,B,opt_b,easy,1,assets/visuals/grade-09-q30.png,,
27,27,31,g09-grammar-q27,grammar,B,opt_b,medium,2,,,
28,28,32,g09-grammar-q28,grammar,B,opt_b,medium,2,,,
29,29,33,g09-grammar-q29,grammar,B,opt_b,medium,2,,,
30,30,34,g09-grammar-q30,grammar,B,opt_b,medium,2,,,
31,31,36,g09-grammar-q31,grammar,B,opt_b,medium,2,,,
32,32,37,g09-grammar-q32,grammar,A,opt_a,medium,2,,,
33,33,38,g09-grammar-q33,grammar,B,opt_b,hard,3,,,
34,34,39,g09-grammar-q34,grammar,B,opt_b,hard,3,,,
35,35,40,g09-grammar-q35,grammar,B,opt_b,hard,3,,,
36,36,41,g09-reading-q36,reading,A,opt_a,easy,1,,,
37,37,42,g09-reading-q37,reading,A,opt_a,easy,1,,,
38,38,43,g09-reading-q38,reading,A,opt_a,easy,1,,,
39,39,44,g09-reading-q39,reading,A,opt_a,easy,1,,,
40,40,45,g09-reading-q40,reading,A,opt_a,easy,1,,,
41,41,46,g09-reading-q41,reading,A,opt_a,easy,1,,,
42,42,47,g09-reading-q42,reading,B,opt_b,medium,2,,,
43,43,48,g09-reading-q43,reading,A,opt_a,medium,2,,,
44,44,49,g09-reading-q44,reading,B,opt_b,medium,2,,,
45,45,50,g09-reading-q45,reading,A,opt_a,medium,2,,,
46,46,51,g09-reading-q46,reading,A,opt_a,medium,2,,,
47,47,52,g09-reading-q47,reading,B,opt_b,medium,2,,,
48,48,53,g09-reading-q48,reading,A,opt_a,hard,3,,,
49,49,54,g09-reading-q49,reading,A,opt_a,hard,3,,,
50,50,55,g09-reading-q50,reading,A,opt_a,hard,3,,,
51,51,56,g09-listening-q51,listening,A,opt_a,easy,1,,assets/listening/grade-09-listening.mp3,
52,52,57,g09-listening-q52,listening,B,opt_b,easy,1,,assets/listening/grade-09-listening.mp3,
53,53,58,g09-listening-q53,listening,B,opt_b,medium,2,,assets/listening/grade-09-listening.mp3,
54,54,59,g09-listening-q54,listening,A,opt_a,medium,2,,assets/listening/grade-09-listening.mp3,
55,55,60,g09-listening-q55,listening,B,opt_b,hard,3,,assets/listening/grade-09-listening.mp3,
56,56,,g09-speaking-q01,speaking,,,,,,,4
57,57,,g09-speaking-q02,speaking,,,,,,,4
58,58,,g09-speaking-q03,speaking,,,,,,,4
59,59,,g09-speaking-q04,speaking,,,,,,,4
60,60,,g09-speaking-q05,speaking,,,,,,,4
