school_name,district,city,channel_group,utm_source,utm_medium,utm_campaign,utm_content,apply_url,message_sms,message_whatsapp,send_owner,send_channel_actual,sent_at,delivery_proof,status
15 Temmuz Milli Birlik İlkokulu,MERAM,Konya,mall_screen,konya_avm,screen,bursluluk_2026_school_coverage,meram-15-temmuz-milli-birlik-ilkokulu,https://teachera.com.tr/bursluluk/giris?utm_source=konya_avm&utm_medium=screen&utm_campaign=bursluluk_2026_school_coverage&utm_content=meram-15-temmuz-milli-birlik-ilkokulu&utm_term=meram,"Merhaba 15 Temmuz Milli Birlik İlkokulu velileri, Teachera Bursluluk Sinavi 2026 basvurulari acildi. Basvuru linki: https://teachera.com.tr/bursluluk/giris?utm_source=konya_avm&utm_medium=screen&utm_campaign=bursluluk_2026_school_coverage&utm_content=meram-15-temmuz-milli-birlik-ilkokulu&utm_term=meram","Merhaba 15 Temmuz Milli Birlik İlkokulu velileri. Teachera Bursluluk Sinavi 2026 basvurusu icin link: https://teachera.com.tr/bursluluk/giris?utm_source=konya_avm&utm_medium=screen&utm_campaign=bursluluk_2026_school_coverage&utm_content=meram-15-temmuz-milli-birlik-ilkokulu&utm_term=meram
Sorulariniz icin bu numaraya yazabilirsiniz.",,,,,READY_TO_SEND_TODAY
15 Temmuz Şehitleri İlkokulu,MERAM,Konya,social_paid,instagram,paid_social,bursluluk_2026_school_coverage,meram-15-temmuz-sehitleri-ilkokulu,https://teachera.com.tr/bursluluk/giris?utm_source=instagram&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=meram-15-temmuz-sehitleri-ilkokulu&utm_term=meram,"Merhaba 15 Temmuz Şehitleri İlkokulu velileri, Teachera Bursluluk Sinavi 2026 basvurulari acildi. Basvuru linki: https://teachera.com.tr/bursluluk/giris?utm_source=instagram&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=meram-15-temmuz-sehitleri-ilkokulu&utm_term=meram","Merhaba 15 Temmuz Şehitleri İlkokulu velileri. Teachera Bursluluk Sinavi 2026 basvurusu icin link: https://teachera.com.tr/bursluluk/giris?utm_source=instagram&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=meram-15-temmuz-sehitleri-ilkokulu&utm_term=meram
Sorulariniz icin bu numaraya yazabilirsiniz.",,,,,READY_TO_SEND_TODAY
24 Kasım İlkokulu,MERAM,Konya,social_paid,facebook,paid_social,bursluluk_2026_school_coverage,meram-24-kasim-ilkokulu,https://teachera.com.tr/bursluluk/giris?utm_source=facebook&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=meram-24-kasim-ilkokulu&utm_term=meram,"Merhaba 24 Kasım İlkokulu velileri, Teachera Bursluluk Sinavi 2026 basvurulari acildi. Basvuru linki: https://teachera.com.tr/bursluluk/giris?utm_source=facebook&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=meram-24-kasim-ilkokulu&utm_term=meram","Merhaba 24 Kasım İlkokulu velileri. Teachera Bursluluk Sinavi 2026 basvurusu icin link: https://teachera.com.tr/bursluluk/giris?utm_source=facebook&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=meram-24-kasim-ilkokulu&utm_term=meram
Sorulariniz icin bu numaraya yazabilirsiniz.",,,,,READY_TO_SEND_TODAY
Abdussamet Fazilet Kuzucu İlkokulu,MERAM,Konya,social_paid,youtube,paid_social,bursluluk_2026_school_coverage,meram-abdussamet-fazilet-kuzucu-ilkokulu,https://teachera.com.tr/bursluluk/giris?utm_source=youtube&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=meram-abdussamet-fazilet-kuzucu-ilkokulu&utm_term=meram,"Merhaba Abdussamet Fazilet Kuzucu İlkokulu velileri, Teachera Bursluluk Sinavi 2026 basvurulari acildi. Basvuru linki: https://teachera.com.tr/bursluluk/giris?utm_source=youtube&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=meram-abdussamet-fazilet-kuzucu-ilkokulu&utm_term=meram","Merhaba Abdussamet Fazilet Kuzucu İlkokulu velileri. Teachera Bursluluk Sinavi 2026 basvurusu icin link: https://teachera.com.tr/bursluluk/giris?utm_source=youtube&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=meram-abdussamet-fazilet-kuzucu-ilkokulu&utm_term=meram
Sorulariniz icin bu numaraya yazabilirsiniz.",,,,,READY_TO_SEND_TODAY
Abdülhamid Han Ortaokulu,KARATAY,Konya,outdoor_qr,konya_outdoor,qr,bursluluk_2026_school_coverage,karatay-abdulhamid-han-ortaokulu,https://teachera.com.tr/bursluluk/giris?utm_source=konya_outdoor&utm_medium=qr&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-abdulhamid-han-ortaokulu&utm_term=karatay,"Merhaba Abdülhamid Han Ortaokulu velileri, Teachera Bursluluk Sinavi 2026 basvurulari acildi. Basvuru linki: https://teachera.com.tr/bursluluk/giris?utm_source=konya_outdoor&utm_medium=qr&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-abdulhamid-han-ortaokulu&utm_term=karatay","Merhaba Abdülhamid Han Ortaokulu velileri. Teachera Bursluluk Sinavi 2026 basvurusu icin link: https://teachera.com.tr/bursluluk/giris?utm_source=konya_outdoor&utm_medium=qr&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-abdulhamid-han-ortaokulu&utm_term=karatay
Sorulariniz icin bu numaraya yazabilirsiniz.",,,,,READY_TO_SEND_TODAY
Ahmet Azmi-Makbule Elberk İlkokulu,MERAM,Konya,outdoor_qr,konya_outdoor,qr,bursluluk_2026_school_coverage,meram-ahmet-azmi-makbule-elberk-ilkokulu,https://teachera.com.tr/bursluluk/giris?utm_source=konya_outdoor&utm_medium=qr&utm_campaign=bursluluk_2026_school_coverage&utm_content=meram-ahmet-azmi-makbule-elberk-ilkokulu&utm_term=meram,"Merhaba Ahmet Azmi-Makbule Elberk İlkokulu velileri, Teachera Bursluluk Sinavi 2026 basvurulari acildi. Basvuru linki: https://teachera.com.tr/bursluluk/giris?utm_source=konya_outdoor&utm_medium=qr&utm_campaign=bursluluk_2026_school_coverage&utm_content=meram-ahmet-azmi-makbule-elberk-ilkokulu&utm_term=meram","Merhaba Ahmet Azmi-Makbule Elberk İlkokulu velileri. Teachera Bursluluk Sinavi 2026 basvurusu icin link: https://teachera.com.tr/bursluluk/giris?utm_source=konya_outdoor&utm_medium=qr&utm_campaign=bursluluk_2026_school_coverage&utm_content=meram-ahmet-azmi-makbule-elberk-ilkokulu&utm_term=meram
Sorulariniz icin bu numaraya yazabilirsiniz.",,,,,READY_TO_SEND_TODAY
Ahmet Naci Gücüyener İlkokulu,MERAM,Konya,mall_screen,konya_avm,screen,bursluluk_2026_school_coverage,meram-ahmet-naci-gucuyener-ilkokulu,https://teachera.com.tr/bursluluk/giris?utm_source=konya_avm&utm_medium=screen&utm_campaign=bursluluk_2026_school_coverage&utm_content=meram-ahmet-naci-gucuyener-ilkokulu&utm_term=meram,"Merhaba Ahmet Naci Gücüyener İlkokulu velileri, Teachera Bursluluk Sinavi 2026 basvurulari acildi. Basvuru linki: https://teachera.com.tr/bursluluk/giris?utm_source=konya_avm&utm_medium=screen&utm_campaign=bursluluk_2026_school_coverage&utm_content=meram-ahmet-naci-gucuyener-ilkokulu&utm_term=meram","Merhaba Ahmet Naci Gücüyener İlkokulu velileri. Teachera Bursluluk Sinavi 2026 basvurusu icin link: https://teachera.com.tr/bursluluk/giris?utm_source=konya_avm&utm_medium=screen&utm_campaign=bursluluk_2026_school_coverage&utm_content=meram-ahmet-naci-gucuyener-ilkokulu&utm_term=meram
Sorulariniz icin bu numaraya yazabilirsiniz.",,,,,READY_TO_SEND_TODAY
Ahmet Tevfik İleri İmam Hatip Ortaokulu,MERAM,Konya,social_paid,instagram,paid_social,bursluluk_2026_school_coverage,meram-ahmet-tevfik-ileri-imam-hatip-ortaokulu,https://teachera.com.tr/bursluluk/giris?utm_source=instagram&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=meram-ahmet-tevfik-ileri-imam-hatip-ortaokulu&utm_term=meram,"Merhaba Ahmet Tevfik İleri İmam Hatip Ortaokulu velileri, Teachera Bursluluk Sinavi 2026 basvurulari acildi. Basvuru linki: https://teachera.com.tr/bursluluk/giris?utm_source=instagram&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=meram-ahmet-tevfik-ileri-imam-hatip-ortaokulu&utm_term=meram","Merhaba Ahmet Tevfik İleri İmam Hatip Ortaokulu velileri. Teachera Bursluluk Sinavi 2026 basvurusu icin link: https://teachera.com.tr/bursluluk/giris?utm_source=instagram&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=meram-ahmet-tevfik-ileri-imam-hatip-ortaokulu&utm_term=meram
Sorulariniz icin bu numaraya yazabilirsiniz.",,,,,READY_TO_SEND_TODAY
Akabe İlkokulu,KARATAY,Konya,mall_screen,konya_avm,screen,bursluluk_2026_school_coverage,karatay-akabe-ilkokulu,https://teachera.com.tr/bursluluk/giris?utm_source=konya_avm&utm_medium=screen&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-akabe-ilkokulu&utm_term=karatay,"Merhaba Akabe İlkokulu velileri, Teachera Bursluluk Sinavi 2026 basvurulari acildi. Basvuru linki: https://teachera.com.tr/bursluluk/giris?utm_source=konya_avm&utm_medium=screen&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-akabe-ilkokulu&utm_term=karatay","Merhaba Akabe İlkokulu velileri. Teachera Bursluluk Sinavi 2026 basvurusu icin link: https://teachera.com.tr/bursluluk/giris?utm_source=konya_avm&utm_medium=screen&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-akabe-ilkokulu&utm_term=karatay
Sorulariniz icin bu numaraya yazabilirsiniz.",,,,,READY_TO_SEND_TODAY
Akabe İmam Hatip Ortaokulu,KARATAY,Konya,social_paid,instagram,paid_social,bursluluk_2026_school_coverage,karatay-akabe-imam-hatip-ortaokulu,https://teachera.com.tr/bursluluk/giris?utm_source=instagram&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-akabe-imam-hatip-ortaokulu&utm_term=karatay,"Merhaba Akabe İmam Hatip Ortaokulu velileri, Teachera Bursluluk Sinavi 2026 basvurulari acildi. Basvuru linki: https://teachera.com.tr/bursluluk/giris?utm_source=instagram&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-akabe-imam-hatip-ortaokulu&utm_term=karatay","Merhaba Akabe İmam Hatip Ortaokulu velileri. Teachera Bursluluk Sinavi 2026 basvurusu icin link: https://teachera.com.tr/bursluluk/giris?utm_source=instagram&utm_medium=paid_social&utm_campaign=bursluluk_2026_school_coverage&utm_content=karatay-akabe-imam-hatip-ortaokulu&utm_term=karatay
Sorulariniz icin bu numaraya yazabilirsiniz.",,,,,READY_TO_SEND_TODAY
