questionNo,displayQuestionNo,sourceQuestionNo,questionId,section,correctLetter,correctOptionId,difficulty,difficultyWeight,visualAsset,listeningAsset,maxPoints
1,1,1,g08-vocabulary-q01,vocabulary,A,opt_a,easy,1,assets/visuals/grade-08-q01.png,,
2,2,2,g08-vocabulary-q02,vocabulary,B,opt_b,easy,1,,,
3,3,3,g08-vocabulary-q03,vocabulary,B,opt_b,easy,1,,,
4,4,4,g08-vocabulary-q04,vocabulary,A,opt_a,easy,1,,,
5,5,5,g08-vocabulary-q05,vocabulary,A,opt_a,easy,1,,,
6,6,6,g08-vocabulary-q06,vocabulary,B,opt_b,easy,1,assets/visuals/grade-08-q06.png,,
7,7,7,g08-vocabulary-q07,vocabulary,B,opt_b,easy,1,,,
8,8,8,g08-vocabulary-q08,vocabulary,B,opt_b,easy,1,,,
9,9,10,g08-vocabulary-q09,vocabulary,B,opt_b,medium,2,assets/visuals/grade-08-q10.png,,
10,10,11,g08-vocabulary-q10,vocabulary,B,opt_b,medium,2,,,
11,11,12,g08-vocabulary-q11,vocabulary,A,opt_a,medium,2,,,
12,12,13,g08-vocabulary-q12,vocabulary,B,opt_b,medium,2,,,
13,13,14,g08-vocabulary-q13,vocabulary,B,opt_b,medium,2,assets/visuals/grade-08-q14.png,,
14,14,15,g08-vocabulary-q14,vocabulary,B,opt_b,medium,2,,,
15,15,16,g08-vocabulary-q15,vocabulary,A,opt_a,medium,2,,,
16,16,17,g08-vocabulary-q16,vocabulary,A,opt_a,medium,2,assets/visuals/grade-08-q17.png,,
17,17,18,g08-vocabulary-q17,vocabulary,A,opt_a,medium,2,,,
18,18,19,g08-vocabulary-q18,vocabulary,B,opt_b,hard,3,,,
19,19,20,g08-vocabulary-q19,vocabulary,B,opt_b,hard,3,assets/visuals/grade-08-q20.png,,
20,20,21,g08-vocabulary-q20,vocabulary,A,opt_a,hard,3,,,
21,21,22,g08-vocabulary-q21,vocabulary,A,opt_a,hard,3,,,
22,22,25,g08-vocabulary-q22,vocabulary,B,opt_b,hard,3,,,
23,23,26,g08-grammar-q23,grammar,B,opt_b,easy,1,assets/visuals/grade-08-q26.png,,
24,24,27,g08-grammar-q24,grammar,B,opt_b,easy,1,,,
25,25,28,g08-grammar-q25,grammar,B,opt_b,easy,1,,,
26,26,29,g08-grammar-q26,grammar,B,opt_b,easy,1,,,
27,27,30,g08-grammar-q27,grammar,B,opt_b,easy,1,,,
28,28,31,g08-grammar-q28,grammar,B,opt_b,medium,2,assets/visuals/grade-08-q31.png,,
29,29,33,g08-grammar-q29,grammar,A,opt_a,medium,2,,,
30,30,34,g08-grammar-q30,grammar,B,opt_b,medium,2,,,
31,31,36,g08-grammar-q31,grammar,A,opt_a,medium,2,,,
32,32,37,g08-grammar-q32,grammar,B,opt_b,medium,2,,,
33,33,38,g08-grammar-q33,grammar,B,opt_b,hard,3,,,
34,34,39,g08-grammar-q34,grammar,A,opt_a,hard,3,assets/visuals/grade-08-q39.png,,
35,35,40,g08-grammar-q35,grammar,B,opt_b,hard,3,,,
36,36,41,g08-reading-q36,reading,A,opt_a,easy,1,,,
37,37,42,g08-reading-q37,reading,B,opt_b,easy,1,,,
38,38,43,g08-reading-q38,reading,A,opt_a,easy,1,,,
39,39,44,g08-reading-q39,reading,A,opt_a,easy,1,,,
40,40,45,g08-reading-q40,reading,B,opt_b,easy,1,,,
41,41,46,g08-reading-q41,reading,B,opt_b,easy,1,,,
42,42,47,g08-reading-q42,reading,A,opt_a,medium,2,,,
43,43,48,g08-reading-q43,reading,A,opt_a,medium,2,,,
44,44,49,g08-reading-q44,reading,A,opt_a,medium,2,,,
45,45,50,g08-reading-q45,reading,A,opt_a,medium,2,,,
46,46,51,g08-reading-q46,reading,B,opt_b,medium,2,,,
47,47,52,g08-reading-q47,reading,A,opt_a,medium,2,,,
48,48,53,g08-reading-q48,reading,B,opt_b,hard,3,,,
49,49,54,g08-reading-q49,reading,B,opt_b,hard,3,,,
50,50,55,g08-reading-q50,reading,A,opt_a,hard,3,,,
51,51,56,g08-listening-q51,listening,A,opt_a,easy,1,,assets/listening/grade-08-listening.mp3,
52,52,57,g08-listening-q52,listening,A,opt_a,easy,1,,assets/listening/grade-08-listening.mp3,
53,53,58,g08-listening-q53,listening,B,opt_b,medium,2,,assets/listening/grade-08-listening.mp3,
54,54,59,g08-listening-q54,listening,B,opt_b,medium,2,,assets/listening/grade-08-listening.mp3,
55,55,60,g08-listening-q55,listening,B,opt_b,hard,3,,assets/listening/grade-08-listening.mp3,
56,56,,g08-speaking-q01,speaking,,,,,,,4
57,57,,g08-speaking-q02,speaking,,,,,,,4
58,58,,g08-speaking-q03,speaking,,,,,,,4
59,59,,g08-speaking-q04,speaking,,,,,,,4
60,60,,g08-speaking-q05,speaking,,,,,,,4
